"ID" "block" "condition" "time" "time_n" "time_nmd"
"1" 1 1 "Congruent" 2.459182 0.0276053853574585 0.00127919435998086
"2" 1 1 "Incongruent" 2.840185 1.00588857105766 0.821779007046517
"3" 1 1 "Novel" 2.524497 0.666926251414673 0.141936735811416
"4" 1 1 "Random" 2.960148 1.839771318341 1.0801224296162
"5" 1 2 "Congruent" 2.437655 0.00718151177077028 -0.0450797567971054
"6" 1 2 "Incongruent" 2.413852 -0.235214720504647 -0.0963401328082592
"7" 1 2 "Novel" 2.502721 0.48342365038397 0.0950415567155506
"8" 1 2 "Random" 2.438235 0.294813217328449 -0.0438307117991437
"9" 1 3 "Congruent" 2.235946 -0.529294745106177 -0.479465304200114
"10" 1 3 "Incongruent" 2.076462 -0.648294014709732 -0.822918222225693
"11" 1 3 "Novel" 2.4134135 0.0789391054896796 -0.0972844538972346
"12" 1 3 "Random" 2.502421 0.26970708155776 0.0943954989579841
"13" 2 1 "Congruent" 2.301179 0.713726732812268 0.034780075144819
"14" 2 1 "Incongruent" 2.61567 1.18269248832959 0.560444272202173
"15" 2 1 "Novel" 3.239204 1.89717734270905 1.60266646440468
"16" 2 1 "Random" 2.994791 1.3979990991294 1.19413597101893
"17" 2 2 "Congruent" 2.012584 -0.365971882669884 -0.447599576259408
"18" 2 2 "Incongruent" 2.279943 0.504497009174673 -0.000715391780180399
"19" 2 2 "Novel" 2.5019 0.692102074772529 0.370280433811837
"20" 2 2 "Random" 2.725791 0.567746694228649 0.744508894223639
"21" 2 3 "Congruent" 2.012171 -0.381602498761348 -0.44828989589776
"22" 2 3 "Incongruent" 2.435475 0.635109882018659 0.259252632413594
"23" 2 3 "Novel" 2.101493 -0.145548669169079 -0.298990305736016
"24" 2 3 "Random" 2.056443 -0.149491167040333 -0.374290305028313
"25" 3 1 "Congruent" 3.210883 1.02193217366277 0.914763256144786
"26" 3 1 "Incongruent" 4.099031 2.53592860257412 2.13767878787196
"27" 3 1 "Novel" 2.454257 0.591922657896033 -0.127055998200891
"28" 3 1 "Random" 3.503928 2.0208078086978 1.31826501710691
"29" 3 2 "Congruent" 2.477222 -0.211999088129542 -0.0954348548935657
"30" 3 2 "Incongruent" 2.951534 0.452233136741256 0.557658449020398
"31" 3 2 "Novel" 1.85677 -0.826304975862642 -0.94975236446538
"32" 3 2 "Random" 2.712406 0.453518657571687 0.228396495752637
"33" 3 3 "Congruent" 2.080512 -0.601545581518604 -0.641675819903324
"34" 3 3 "Incongruent" 2.635352 0.21244362392301 0.122298713196458
"35" 3 3 "Novel" 1.919903 -0.89079115772592 -0.862822791618814
"36" 3 3 "Random" 2.412718 -0.161412673063588 -0.184252195537838
"37" 4 1 "Congruent" 2.749171 1.11728999778705 0.776238645553088
"38" 4 1 "Incongruent" 3.46039 1.90706006989485 1.90217460092079
"39" 4 1 "Novel" 2.075917 0.104308014055 -0.289594643061423
"40" 4 1 "Random" 2.833948 1.20990335502998 0.910449728901828
"41" 4 2 "Congruent" 2.188081 0.133455088748037 -0.112027001451929
"42" 4 2 "Incongruent" 2.278684 0.160062372301858 0.0314072647363751
"43" 4 2 "Novel" 1.812875 -0.610509479960461 -0.706018340363984
"44" 4 2 "Random" 2.258845 0.180609155969537 0
"45" 4 3 "Congruent" 2.055136 -0.390393517230172 -0.32249319482747
"46" 4 3 "Incongruent" 2.165239 0.0180080885257899 -0.148188337260603
"47" 4 3 "Novel" 1.6533855 -0.768220207330913 -0.958507324141999
"48" 4 3 "Random" 2.233451 0.23223659717013 -0.0402014255111396
"49" 5 1 "Congruent" 2.367791 0.24110748159845 -0.277743669632621
"50" 5 1 "Incongruent" 2.903649 0.8564166435454 0.35630623141154
"51" 5 1 "Novel" 2.904244 1.43169771661701 0.35701026063406
"52" 5 1 "Random" 1.943896 -0.672081040838428 -0.779314202876716
"53" 5 2 "Congruent" 3.015265 0.609926046199372 0.488375014102001
"54" 5 2 "Incongruent" 2.569011 0.191243280765762 -0.0396516357577768
"55" 5 2 "Novel" 3.261341 0.923986155364713 0.779542568658139
"56" 5 2 "Random" 1.921148 -0.698276935146782 -0.806230600782416
"57" 5 3 "Congruent" 2.367923 0.247000665835105 -0.277587481637036
"58" 5 3 "Incongruent" 3.284421 1.2346431683955 0.806851803037582
"59" 5 3 "Novel" 2.814676 0.513207813176165 0.251029606175746
"60" 5 3 "Random" 2.077887 -0.263365727267545 -0.62077037169232
"61" 6 1 "Congruent" 2.862045 0.60581753878856 0.323136352871382
"62" 6 1 "Incongruent" 3.418577 1.99469372910809 1.05237943996665
"63" 6 1 "Novel" 2.992976 0.955378473136022 0.494699760970954
"64" 6 1 "Random" 2.858893 0.733764245139352 0.319006178486937
"65" 6 2 "Congruent" 2.323044 0.158841975084264 -0.383135259879434
"66" 6 2 "Incongruent" 2.7178585 0.310969569336111 0.13420380563697
"67" 6 2 "Novel" 2.663005 0.272644325933774 0.0623273714373544
"68" 6 2 "Random" 2.125149 -0.316300337717939 -0.64244390829627
"69" 6 3 "Congruent" 2.259593 -0.30178929014299 -0.46627729505312
"70" 6 3 "Incongruent" 3.193058 0.592790193061987 0.756874110967352
"71" 6 3 "Novel" 2.211205 -0.446837886948665 -0.529681761460022
"72" 6 3 "Random" 2.091074 -0.625310410984653 -0.687093556821011
"73" 7 1 "Congruent" 2.1777865 0.266246921630889 0.0191467209641251
"74" 7 1 "Incongruent" 2.276547 0.997634242132313 0.16155820882205
"75" 7 1 "Novel" 2.347208 1.07770308410221 0.263450545773856
"76" 7 1 "Random" 2.573064 0.824363947006147 0.589132260646092
"77" 7 2 "Congruent" 2.305044 0.320961255171923 0.202650550086901
"78" 7 2 "Incongruent" 2.572035 0.583567738626521 0.587648454660847
"79" 7 2 "Novel" 2.392276 0.525660901478736 0.328438075553281
"80" 7 2 "Random" 2.704142 1.70597319184618 0.77814520616015
"81" 7 3 "Congruent" 1.475575 -0.849567886140218 -0.993434062911464
"82" 7 3 "Incongruent" 1.49869 -0.802877524357811 -0.960102502805593
"83" 7 3 "Novel" 1.563947 -0.711429952524391 -0.866002670755891
"84" 7 3 "Random" 1.808299 -0.474993717688268 -0.513649939845662
"85" 8 1 "Congruent" 4.826773 0.168557727221627 0.0753845961647843
"86" 8 1 "Incongruent" 6.031915 0.373030312196499 0.633061195878242
"87" 8 1 "Novel" 7 0.829018405824008 1.08104023157163
"88" 8 1 "Random" 6.189845 0.508078686209665 0.706142928481327
"89" 8 2 "Congruent" 3.774645 -0.275328253942216 -0.411485138275905
"90" 8 2 "Incongruent" 4.648023 0.0131348955913632 -0.00733154201543065
"91" 8 2 "Novel" 4.914995 0.0853782362837177 0.116209117241903
"92" 8 2 "Random" 4.513433 0.0510481289682793 -0.0696127450234035
"93" 8 3 "Congruent" 3.038654 -0.548404828093385 -0.752063226417973
"94" 8 3 "Incongruent" 2.611099 -0.535244748352366 -0.949913287730655
"95" 8 3 "Novel" 3.484937 -0.41746956855756 -0.545546827562136
"96" 8 3 "Random" 4.201555 -0.138505721710251 -0.213933549182112
"97" 9 1 "Congruent" 1.828111 2.14825637400311 0.746553055889043
"98" 9 1 "Incongruent" 1.608662 0.993824788290302 0.213700475344012
"99" 9 1 "Novel" 1.7665815 0.966787652118759 0.597150903887232
"100" 9 1 "Random" 2.0436665 1.3986905740562 1.2699516789207
"101" 9 2 "Congruent" 1.339822 -0.462747457208101 -0.439080297198702
"102" 9 2 "Incongruent" 1.384187 0.0377018943206972 -0.331355929642321
"103" 9 2 "Novel" 1.5086985 0.0346916250963716 -0.029024754369102
"104" 9 2 "Random" 1.652596 0.666706147228522 0.320378315177711
"105" 9 3 "Congruent" 1.4381875 0.0384463367015712 -0.200235232916786
"106" 9 3 "Incongruent" 1.387542 -0.133761484197808 -0.32320952474766
"107" 9 3 "Novel" 1.15993 -0.878876932630857 -0.875883000420894
"108" 9 3 "Random" 1.49973 0.108755205768318 -0.0508015151135945
"109" 10 1 "Congruent" 4.31097 1.52111625387278 1.20486934244285
"110" 10 1 "Incongruent" 3.3953115 0.803206809650396 0.329862864812776
"111" 10 1 "Novel" 2.546513 0.0955090793129457 -0.481251962060658
"112" 10 1 "Random" 4.309948 1.23139968921542 1.20389271565443
"113" 10 2 "Congruent" 3.752734 0.661626167731395 0.671417060782926
"114" 10 2 "Incongruent" 2.754767 -0.240584467408565 -0.282243708446048
"115" 10 2 "Novel" 2.613688 -0.305014563989764 -0.417059296198003
"116" 10 2 "Random" 2.970885 0.0656521297020761 -0.0757205888196202
"117" 10 3 "Congruent" 3.774405 0.786606383988903 0.69212594447343
"118" 10 3 "Incongruent" 2.838647 0.226346857187723 -0.202087685929345
"119" 10 3 "Novel" 2.41221 -0.548814673967387 -0.609592380420943
"120" 10 3 "Random" 2.771254 0.0058034903852621 -0.266488673357435
"121" 11 1 "Congruent" 1.962599 1.14127363422294 -0.215293705566173
"122" 11 1 "Incongruent" 3.0604345 4.16645418076839 2.68566514583201
"123" 11 1 "Novel" 2.99217 3.04062169963951 2.50528064787101
"124" 11 1 "Random" 2.011282 1.25652099368214 -0.086652046808902
"125" 11 2 "Congruent" 1.920939 0.106874601180437 -0.325377543945647
"126" 11 2 "Incongruent" 1.891564 -0.436338264187022 -0.402999069447255
"127" 11 2 "Novel" 2.099795 0.182504543816279 0.147237794441274
"128" 11 2 "Random" 1.806433 -0.075841439060809 -0.627952195829468
"129" 11 3 "Congruent" 2.120331 0.200322482419083 0.201502837767267
"130" 11 3 "Incongruent" 1.965648 -0.0398323687401227 -0.20723692152347
"131" 11 3 "Novel" 2.052992 -0.103403661293129 0.0235639133161064
"132" 11 3 "Random" 1.7981795 -0.0866692226358215 -0.649761532364873
"133" 12 1 "Congruent" 1.675081 -0.214357212086414 -0.203570684945975
"134" 12 1 "Incongruent" 1.851064 0.275842669778206 0.554421398689162
"135" 12 1 "Novel" 1.763259 0.38084299769496 0.176228647664442
"136" 12 1 "Random" 1.565376 -0.379337469395226 -0.676090880278436
"137" 12 2 "Congruent" 1.739793 0.526628431826657 0.0751561450103099
"138" 12 2 "Incongruent" 1.763968 0.467465543100783 0.17928244483404
"139" 12 2 "Novel" 2.011237 0.771121390398687 1.24431682047474
"140" 12 2 "Random" 1.607727 -0.401920062568993 -0.493677108868519
"141" 12 3 "Congruent" 1.655564 0.0488060865424678 -0.287634097300049
"142" 12 3 "Incongruent" 1.813018 0.574411726586273 0.390550076947957
"143" 12 3 "Novel" 1.763836 0.350504150670669 0.178713895854651
"144" 12 3 "Random" 1.633494 -0.287464460308529 -0.382693763778217
"145" 13 1 "Congruent" 2.208926 0.884421065421932 0.676829399316994
"146" 13 1 "Incongruent" 2.47818 1.85851165718354 1.3096817928714
"147" 13 1 "Novel" 1.98638 0.415491143135912 0.153759105928747
"148" 13 1 "Random" 2.319261 2.15237083829791 0.936159878503284
"149" 13 2 "Congruent" 1.676885 -0.24965924972957 -0.573675404025129
"150" 13 2 "Incongruent" 1.898267 0.190967977705607 -0.0533409666913788
"151" 13 2 "Novel" 1.760958 -0.164025074910399 -0.37607091427456
"152" 13 2 "Random" 1.966256 0.736016965609368 0.106459821357715
"153" 13 3 "Congruent" 1.519104 -0.840131909548448 -0.944522572525533
"154" 13 3 "Incongruent" 1.965672 0.750555585283582 0.105087192546868
"155" 13 3 "Novel" 1.588223 -0.674225165203264 -0.782065841743123
"156" 13 3 "Random" 1.808538 0.109790145738089 -0.264239272459328
"157" 14 1 "Congruent" 3.306542 0.748672097868432 0.18012158602194
"158" 14 1 "Incongruent" 5.653196 2.4852367993335 2.90652848213263
"159" 14 1 "Novel" 4.088138 1.74352219308626 1.08820122808785
"160" 14 1 "Random" 4.623188 1.88313300287072 1.70983697403251
"161" 14 2 "Congruent" 2.413064 -0.677491491515418 -0.857945628285406
"162" 14 2 "Incongruent" 3.102625 0.177033716928737 -0.0567947702172857
"163" 14 2 "Novel" 2.727001 -0.27513940497106 -0.493205022408143
"164" 14 2 "Random" 3.03824 -0.118743317372944 -0.131599026833765
"165" 14 3 "Congruent" 2.770052 -0.44004918495309 -0.443187191366812
"166" 14 3 "Incongruent" 3.219077 0.618847807061202 0.0785023532043529
"167" 14 3 "Novel" 2.612691 -0.329097082069081 -0.626013511556698
"168" 14 3 "Random" 3.015528 -0.137500484384384 -0.157986450554716
"169" 15 1 "Congruent" 2.477901 0.742464714500684 -0.197864999503624
"170" 15 1 "Incongruent" 2.166131 -0.00710298984851767 -0.613913686344328
"171" 15 1 "Novel" 2.502044 0.428266712185456 -0.165646814795681
"172" 15 1 "Random" 2.682155 0.313280808669785 0.0747064746021631
"173" 15 2 "Congruent" 2.636733 0.629979100366332 0.0140920362223369
"174" 15 2 "Incongruent" 2.277647 -0.428790013846212 -0.46509858110095
"175" 15 2 "Novel" 2.457622 0.210399038350054 -0.224926780048393
"176" 15 2 "Random" 2.769948 0.38657222849831 0.191863873850987
"177" 15 3 "Congruent" 3.237211 0.807761100521105 0.815413790646215
"178" 15 3 "Incongruent" 2.165097 -0.276556621470469 -0.615293531557766
"179" 15 3 "Novel" 2.636446 -0.0170249002003982 0.0137090424348547
"180" 15 3 "Random" 3.61933 1.68297057895777 1.32534132750635
"181" 16 1 "Congruent" 2.592252 2.78337589961407 1.52179780840498
"182" 16 1 "Incongruent" 1.542484 -0.463468459370359 -0.577037303239696
"183" 16 1 "Novel" 2.212333 0.85486652450502 0.762213465215884
"184" 16 1 "Random" 2.258061 1.01224766070428 0.853638934448408
"185" 16 2 "Congruent" 1.83227 0.063224053525074 0.00234121816985847
"186" 16 2 "Incongruent" 1.275708 -1.01916024461264 -1.11041118751138
"187" 16 2 "Novel" 1.744081 0.0174729342911353 -0.173977901541195
"188" 16 2 "Random" 1.922378 0.209956040789963 0.18249705664091
"189" 16 3 "Congruent" 1.944095 0.512496548390328 0.225916557063467
"190" 16 3 "Incongruent" 1.319006 -1.06860361033906 -1.02384409586448
"191" 16 3 "Novel" 1.587715 0.0584898524204834 -0.486605502180033
"192" 16 3 "Random" 1.831099 -0.0786649612662017 0
"193" 17 1 "Congruent" 4.414858 1.64074657462145 1.66405002063088
"194" 17 1 "Incongruent" 4.991599 1.94776197593831 2.2248196823602
"195" 17 1 "Novel" 4.094204 1.65028263106562 1.35227569712665
"196" 17 1 "Random" 2.518143 0.218654317288701 -0.180140402708066
"197" 17 2 "Congruent" 2.736644 0.573901648273221 0.0323097817898595
"198" 17 2 "Incongruent" 5.341094 2.25202350293978 2.56463632956595
"199" 17 2 "Novel" 2.636285 0.630120474126055 -0.065270037368988
"200" 17 2 "Random" 2.1917815 -0.408483360175126 -0.497464171880838
"201" 17 3 "Congruent" 2.646602 -0.198872806276998 -0.0552387397846972
"202" 17 3 "Incongruent" 2.602542 0.18727316292346 -0.0980786129613811
"203" 17 3 "Novel" 2.333888 -0.0885572533206616 -0.359292940887138
"204" 17 3 "Random" 1.731789 -0.722016482184325 -0.944718378921822
"205" 18 1 "Congruent" 3.486426 1.9000548230512 1.66716230503315
"206" 18 1 "Incongruent" 2.996031 1.3484540034266 0.921241777889848
"207" 18 1 "Novel" 2.569202 0.338580666212371 0.2720089906876
"208" 18 1 "Random" 2.413733 0.045503289245925 0.0355312157624038
"209" 18 2 "Congruent" 2.591901 0.525802051794325 0.306535545904569
"210" 18 2 "Incongruent" 2.501837 0.140733385085767 0.169542741417097
"211" 18 2 "Novel" 2.146214 -0.176995002461735 -0.371381402638779
"212" 18 2 "Random" 1.6556395 -0.986399832318155 -1.11757496016498
"213" 18 3 "Congruent" 2.14614 -0.151494070003077 -0.371493961125323
"214" 18 3 "Incongruent" 2.144722 -0.341765065141449 -0.373650825097201
"215" 18 3 "Novel" 1.921315 -0.567647833753229 -0.713466417033299
"216" 18 3 "Random" 1.553275 -1.25850794545674 -1.27327757091908
"217" 19 1 "Congruent" 1.85299 -0.53861675954583 -0.605176755295171
"218" 19 1 "Incongruent" 2.484238 0.82865166396036 0.252801684838879
"219" 19 1 "Novel" 4.270202 2.76921951665824 2.68024479254863
"220" 19 1 "Random" 2.879669 2.55042404899357 0.790262829366303
"221" 19 2 "Congruent" 1.610538 -0.859423455529814 -0.934712197415194
"222" 19 2 "Incongruent" 2.379044 0.136447886733989 0.10982430664289
"223" 19 2 "Novel" 2.882135 1.26081874691388 0.793614562493965
"224" 19 2 "Random" 2.836598 0.850614936096114 0.731721670590333
"225" 19 3 "Congruent" 1.458165 -1.11311864312336 -1.14181423791044
"226" 19 3 "Incongruent" 2.056945 -0.17934302395252 -0.327965591445876
"227" 19 3 "Novel" 2.459196 0.18654384483035 0.218765147538425
"228" 19 3 "Random" 2.278227 0.11107631875231 -0.0272039491282084
"229" 20 1 "Congruent" 4.283127 0.178759265878985 -0.056229895285666
"230" 20 1 "Incongruent" 6.634817 0.989275202438658 1.3349735896261
"231" 20 1 "Novel" 6.131826 0.893189281354227 1.03741615982912
"232" 20 1 "Random" 5.862813 0.639082384457558 0.878274511445803
"233" 20 2 "Congruent" 3.574284 -0.110178900845409 -0.47556443846751
"234" 20 2 "Incongruent" 4.892785 0.501571681307765 0.304429177212978
"235" 20 2 "Novel" 6.177115 0.894800461483829 1.06420804763243
"236" 20 2 "Random" 3.931704 -0.225514979685728 -0.264123326085707
"237" 20 3 "Congruent" 3.14625 -0.718197630622824 -0.728779102160736
"238" 20 3 "Incongruent" 4.042532 -0.135707864790142 -0.198560135433112
"239" 20 3 "Novel" 4.099178 -0.0757517684726638 -0.165049718411178
"240" 20 3 "Random" 3.679507 -0.319002198186948 -0.41331703158443
"241" 21 1 "Congruent" 3.974267 0.609792896994047 0.441884969765349
"242" 21 1 "Incongruent" 4.557096 0.893416426919063 0.904440242624067
"243" 21 1 "Novel" 4.8145185 1.17305339080512 1.10874053435196
"244" 21 1 "Random" 4.265585 0.813402143649456 0.673086020122582
"245" 21 2 "Congruent" 2.838503 -0.356985355886173 -0.45950055999228
"246" 21 2 "Incongruent" 3.618598 -0.113886694327456 0.159612517052139
"247" 21 2 "Novel" 2.79145 -0.0979469013742169 -0.49684361130548
"248" 21 2 "Random" 3.417483 0.112537082293595 0
"249" 21 3 "Congruent" 2.8147 0.063909291503158 -0.478391526570566
"250" 21 3 "Incongruent" 2.682299 -0.531431761789077 -0.58346999844099
"251" 21 3 "Novel" 2.567611 -0.27574526811899 -0.674490759476595
"252" 21 3 "Random" 2.725361 -0.23667568774578 -0.54929435659777
"253" 22 1 "Congruent" 2.503478 2.41986261585144 1.30398916437291
"254" 22 1 "Incongruent" 1.581639 -0.435761994087519 -0.483333114997635
"255" 22 1 "Novel" 2.168787 1.01511483690646 0.655068169486809
"256" 22 1 "Random" 2.256763 1.87135668339949 0.825641843251862
"257" 22 2 "Congruent" 2.010954 0.561228994751031 0.349051134711874
"258" 22 2 "Incongruent" 1.383174 -0.728400704432715 -0.868130152414445
"259" 22 2 "Novel" 2.034995 0.514768844049465 0.395663411821378
"260" 22 2 "Random" 1.49786 0.407493178904443 -0.645769368229907
"261" 22 3 "Congruent" 1.7872 0.756389875483554 -0.0847778845618561
"262" 22 3 "Incongruent" 1.275051 -1.02066073933698 -1.07776615914922
"263" 22 3 "Novel" 1.652286 -0.134923521210996 -0.346358049860783
"264" 22 3 "Random" 1.763685 0.0307470587688416 -0.130370318164034
"265" 23 1 "Congruent" 2.347553 1.05777780023135 0.574635010107042
"266" 23 1 "Incongruent" 2.143914 0.491133668218621 0.05921057165357
"267" 23 1 "Novel" 2.210529 0.220234480148199 0.227817758722737
"268" 23 1 "Random" 2.457175 0.793270341148153 0.852095898208764
"269" 23 2 "Congruent" 1.9999865 -0.0468205651700239 -0.305079917228777
"270" 23 2 "Incongruent" 2.233888 0.651908947820603 0.28694100848253
"271" 23 2 "Novel" 2.12458 0.553611947796804 0.0102748761676389
"272" 23 2 "Random" 2.010646 -0.20463939348251 -0.278099983121387
"273" 23 3 "Congruent" 2.177588 0.365943488113077 0.144441802117687
"274" 23 3 "Incongruent" 2.099816 0.234164901949262 -0.0524045260778135
"275" 23 3 "Novel" 1.902446 -0.511647790884867 -0.551961690557908
"276" 23 3 "Random" 1.921974 -0.0870844599979106 -0.502534967611324
"277" 24 1 "Congruent" 1.852211 0.9547684760492 0.442133025610067
"278" 24 1 "Incongruent" 1.965441 1.17371456681988 0.689629509333228
"279" 24 1 "Novel" 1.586211 0.122592717989552 -0.139285897558358
"280" 24 1 "Random" 1.874636 1.70820064160782 0.491149263775676
"281" 24 2 "Congruent" 1.652808 0.735699308745337 0.00628085442001675
"282" 24 2 "Incongruent" 1.563791 0.15494200601146 -0.18829120679684
"283" 24 2 "Novel" 1.271125 -0.343985425641865 -0.827996284120186
"284" 24 2 "Random" 1.563249 0.353534062900391 -0.18947590249743
"285" 24 3 "Congruent" 1.453958 0.182183113494103 -0.428362577429763
"286" 24 3 "Incongruent" 1.830581 0.738929058917443 0.394854486857688
"287" 24 3 "Novel" 1.340679 -0.0412515717163957 -0.675966164638771
"288" 24 3 "Random" 1.676761 0.284294601703882 0.0586369727157056
"289" 25 1 "Congruent" 2.701608 0.0390952384353381 -0.250336858655063
"290" 25 1 "Incongruent" 2.455777 -0.520488426951224 -0.641164869857974
"291" 25 1 "Novel" 2.635902 -0.505361496664932 -0.354797831047065
